id,directors,rate,title,casts,year,types,country,lang,time,movieTime,commentLen,star
279,"肖恩·利维,马特·达菲,罗斯·达菲",9.1,怪奇物语 第一季,"薇诺娜·瑞德,大卫·哈伯,米莉·波比·布朗,菲恩·伍法德,伽塔·马塔拉佐",2016,"剧情,恐怖,奇幻",美国,英语,2016-07-15,47,519283,"63.0%,29.8%,6.2%,0.6%,0.3%"
280,管虎,7.5,八佰,"王千源,张译,姜武,黄志忠,张俊一",2020,"剧情,历史,战争",中国大陆,"汉语普通话,日语,英语",2020-08-21,147,889402,"18.5%,45.3%,30.2%,4.3%,1.6%"
281,"普特鹏·普罗萨卡·那·萨克那卡林,华森·波克彭",8.5,初恋这件小事,"平采娜·乐维瑟派布恩,马里奥·毛瑞尔,苏达拉·布查蓬,雅尼卡·桑普蕾舞,诺特·阿查拉那·阿瑞亚卫考",2010,"剧情,喜剧,爱情",泰国,"泰语,印度尼西亚语,英语",2012-06-05,118,1058309,"42.4%,41.5%,14.5%,1.3%,0.3%"
282,王家卫,8.8,花样年华,"张曼玉,梁朝伟,潘迪华,雷震,萧炳林",2000,"剧情,爱情",中国香港,"粤语,沪语,法语",2000-11-24,103,814531,"50.6%,39.3%,9.2%,0.7%,0.2%"
283,奉俊昊,8.9,杀人回忆,"宋康昊,金相庆,金雷夏,宋在浩,边希峰",2003,"剧情,动作,悬疑,惊悚,犯罪",韩国,"韩语,英语",2003-05-02,132,844713,"55.0%,36.8%,7.4%,0.6%,0.2%"
284,乔斯·韦登,8.3,复仇者联盟,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯,斯嘉丽·约翰逊,杰瑞米·雷纳",2012,"动作,科幻,奇幻,冒险",美国,"英语,俄语",2012-05-05,142,707353,"35.3%,45.9%,16.8%,1.5%,0.5%"
285,格蕾塔·葛韦格,8.0,芭比,"玛格特·罗比,瑞恩·高斯林,亚美莉卡·费雷拉,阿丽亚娜·格林布拉特,凯特·麦克金农",2023,"喜剧,奇幻,冒险","美国,英国","英语,西班牙语",2023-07-21,114,793844,"33.5%,39.1%,22.2%,3.9%,1.3%"
286,"宋阳,张吃鱼",6.8,羞羞的铁拳,"艾伦,马丽,沈腾,田雨,宋阳",2017,"喜剧,奇幻",中国大陆,汉语普通话,2017-09-30,100,767736,"11.0%,32.9%,43.4%,10.1%,2.5%"
287,托尼·凯耶,9.0,超脱,"阿德里安·布罗迪,马西娅·盖伊·哈登,詹姆斯·肯恩,克里斯蒂娜·亨德里克斯,刘玉玲",2011,剧情,美国,英语,2011-04-25,98,729042,"59.2%,32.3%,7.4%,0.7%,0.2%"
288,和晓丹,7.6,蒙特利尔，我的美人,"陈冲,夏洛特·奥宾,埃米莉·科泰,John Xu,Pei Yao Xu",2025,"剧情,同性",加拿大,"法语,汉语普通话",2025-10-12,117,18025,"18.8%,46.5%,30.3%,3.6%,0.8%"
