id,directors,rate,title,casts,year,types,country,lang,time,movieTime,commentLen,star
355,姜文,9.3,鬼子来了,"姜文,香川照之,袁丁,姜宏波,丛志军",2000,"剧情,喜剧",中国大陆,"汉语普通话,日语,唐山话",2000-05-12,139,719485,"71.3%,23.8%,4.3%,0.3%,0.2%"
356,万籁鸣,9.4,大闹天宫,"邱岳峰,富润生,毕克,尚华,于鼎",1961,"剧情,动画,奇幻,古装",中国大陆,汉语普通话,,113,513291,"75.0%,20.7%,3.9%,0.3%,0.2%"
357,戈尔·维宾斯基,8.5,加勒比海盗2：亡灵的宝藏,"约翰尼·德普,奥兰多·布鲁姆,凯拉·奈特莉,杰克·达文波特,比尔·奈伊",2006,"动作,奇幻,冒险",美国,"英语,土耳其语,希腊语",2006-07-07,151,475059,"38.5%,47.2%,13.5%,0.8%,0.1%"
358,乔恩·沃茨,7.3,蜘蛛侠：英雄归来,"汤姆·霍兰德,小罗伯特·唐尼,玛丽莎·托梅,迈克尔·基顿,雅各布·贝塔隆",2017,"动作,科幻,冒险",美国,英语,2017-09-08,133,461179,"13.1%,44.6%,37.2%,4.2%,0.8%"
359,马克·赫尔曼,9.2,穿条纹睡衣的男孩,"阿萨·巴特菲尔德,维拉·法米加,卡拉·霍根,祖萨·霍尔,安贝尔·比蒂",2008,"剧情,战争","英国,美国","英语,西班牙语",2008-08-28,94,645395,"63.6%,31.3%,4.6%,0.3%,0.2%"
360,文牧野,7.4,奇迹·笨小孩,"易烊千玺,田雨,陈哈琳,齐溪,公磊",2022,剧情,中国大陆,汉语普通话,2022-02-01,106,644961,"17.0%,42.5%,34.5%,4.4%,1.6%"
361,乔恩·沃茨,7.6,蜘蛛侠：英雄远征,"汤姆·霍兰德,赞达亚,杰克·吉伦哈尔,塞缪尔·杰克逊,寇碧·史莫德斯",2019,"动作,科幻,冒险",美国,英语,2019-06-28,129,628282,"19.2%,45.8%,30.7%,3.6%,0.7%"
362,科拉莉·法尔雅,7.5,某种物质,"黛米·摩尔,玛格丽特·库里,丹尼斯·奎德,爱德华·汉密尔顿-克拉克,戈雷·阿布拉姆斯",2024,"剧情,恐怖","法国,英国,美国",英语,2024-05-19,141,300762,"21.7%,43.2%,27.8%,5.2%,2.1%"
363,巴兹·鲁赫曼,8.0,了不起的盖茨比,"莱昂纳多·迪卡普里奥,凯瑞·穆里根,托比·马奎尔,伊丽莎白·德比齐,艾拉·菲舍尔",2013,"剧情,爱情","澳大利亚,美国",英语,2013-08-30,143,727354,"27.7%,47.2%,22.5%,2.2%,0.4%"
364,刘伟强,6.6,中国机长,"张涵予,欧豪,杜江,袁泉,张天爱",2019,"剧情,传记,灾难",中国大陆,"汉语普通话,藏语,英语,四川话",2019-09-30,111,776408,"9.4%,29.4%,44.8%,13.6%,2.9%"
365,鲁本·弗雷斯彻,7.2,毒液：致命守护者,"汤姆·哈迪,米歇尔·威廉姆斯,里兹·阿迈德,斯科特·黑兹,瑞德·斯科特",2018,"动作,科幻,惊悚","美国,中国大陆","英语,汉语普通话",2018-11-09,112,887662,"11.8%,42.0%,40.3%,5.2%,0.7%"
366,"冢原亚由子,竹村谦太郎,村尾嘉昭",9.5,非自然死亡,"石原里美,井浦新,洼田正孝,市川实日子,松重丰",2018,"剧情,悬疑",日本,日语,2018-01-12,98,761904,"76.5%,20.4%,2.8%,0.2%,0.1%"
367,戴墨,7.6,三大队,"张译,李晨,魏晨,曹炳琨,王骁",2023,"剧情,犯罪",中国大陆,汉语普通话,2023-12-15,132,546436,"19.3%,47.0%,29.4%,3.5%,0.7%"
368,朴俊宇,8.3,模范出租车,"李帝勋,李絮,金义城,表艺珍,车智妍",2021,剧情,韩国,韩语,2021-04-09,72,98964,"36.3%,44.1%,16.6%,2.0%,0.9%"
369,基里尔·索科洛夫,6.8,杀的就是你,"莎姬·贝兹,帕特丽夏·阿奎特,米哈拉·赫罗德,汤姆·费尔顿,佩特逊·约瑟夫",2026,"喜剧,动作,恐怖",美国,英语,2026-02-27,95,25822,"11.0%,32.3%,45.9%,9.0%,1.8%"
370,"布拉德·伯德,简·皮克瓦",8.6,美食总动员,"帕顿·奥斯瓦尔特,伊安·霍姆,卢·罗曼诺,布莱恩·丹内利,彼得·孙",2007,"喜剧,动画,奇幻",美国,"英语,法语",2007-10-19,111,454257,"44.0%,43.9%,11.4%,0.5%,0.1%"
371,万力,7.4,震耳欲聋,"檀健次,兰西雅,王戈,潘斌龙,王砚辉",2025,"剧情,犯罪",中国大陆,"汉语普通话,中国手语",2025-10-04,125,268402,"18.9%,37.5%,36.9%,5.4%,1.2%"
372,"朱锐斌,李秉光,澄丰",7.8,香蜜沉沉烬如霜,"杨紫,邓伦,陈钰琪,罗云熙,王一菲",2018,"爱情,奇幻,古装",中国大陆,汉语普通话,2018-08-02,85,610797,"33.3%,33.9%,24.2%,5.1%,3.5%"
373,李安,8.8,断背山,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯,安妮·海瑟薇,凯特·玛拉",2005,"剧情,爱情,同性,家庭","美国,加拿大",英语,2005-09-02,134,789092,"53.4%,35.6%,9.8%,0.8%,0.4%"
374,"刘伟强,麦兆辉",8.8,无间道2,"陈冠希,余文乐,曾志伟,黄秋生,吴镇宇",2003,"剧情,惊悚,犯罪",,,2003-10-17,119,574662,"50.1%,39.6%,9.6%,0.6%,0.1%"
375,"皮埃尔·柯芬,克里斯·雷纳德",8.1,神偷奶爸2,"史蒂夫·卡瑞尔,克里斯汀·韦格,本杰明·布拉特,米兰达·卡斯格拉夫,拉塞尔·布兰德",2013,"喜剧,动画,冒险","美国,法国,日本","英语,乌克兰语",2014-01-10,99,477743,"29.9%,49.2%,19.4%,1.4%,0.2%"
376,理查德·林克莱特,8.8,爱在午夜降临前,"伊桑·霍克,朱莉·德尔佩,肖姆斯·戴维-菲茨帕特里克,詹妮弗·普里尔,夏洛特·普里尔",2013,"剧情,爱情","美国,希腊","英语,希腊语,法语",2013-06-14,109,480807,"54.5%,35.0%,9.3%,0.9%,0.3%"
377,乔恩·费儒,7.7,钢铁侠2,"小罗伯特·唐尼,格温妮斯·帕特洛,唐·钱德尔,米基·洛克,斯嘉丽·约翰逊",2010,"动作,科幻,冒险",美国,"英语,法语,俄语",2010-05-07,124,458406,"22.6%,44.2%,30.0%,2.8%,0.4%"
378,米林宏昌,8.9,借东西的小人阿莉埃蒂,"志田未来,神木隆之介,树木希林,三浦友和,大竹忍",2010,"动画,奇幻,冒险",日本,日语,2010-07-17,94,633207,"54.4%,37.3%,7.9%,0.4%,0.1%"
379,王家卫,8.2,一代宗师,"梁朝伟,章子怡,张震,宋慧乔,赵本山",2013,"剧情,动作,爱情,传记","中国大陆,中国香港","汉语普通话,粤语,日语",2013-01-08,111,694808,"34.6%,44.4%,17.8%,2.3%,0.8%"
380,侯孝贤,8.1,南国再见，南国,"高捷,林强,伊能静,徐贵樱,高明",1996,"剧情,犯罪","中国台湾,日本","汉语普通话,闽南语",1996-05-13,124,30080,"27.8%,50.9%,19.0%,1.8%,0.5%"
381,鲁本·弗雷斯彻,5.5,惊天魔盗团3,"杰西·艾森伯格,伍迪·哈里森,戴夫·弗兰科,艾拉·菲舍尔,裴淳华",2025,"剧情,动作,犯罪",美国,英语,2025-11-14,113,137479,"3.4%,12.4%,47.0%,29.9%,7.3%"
382,"亚当·伯恩斯坦,文斯·吉利根,翠西亚·布洛克,蒂姆·亨特,吉姆·麦凯,布朗温·休斯",9.2,绝命毒师 第一季,"布莱恩·克兰斯顿,亚伦·保尔,安娜·冈,迪恩·诺里斯,贝琪·勃兰特",2008,"剧情,犯罪",美国,"英语,西班牙语",2008-01-20,68,384304,"67.4%,27.0%,5.1%,0.3%,0.2%"
383,李国立,9.0,仙剑奇侠传三,"胡歌,霍建华,杨幂,唐嫣,刘诗诗",2009,"爱情,奇幻,武侠,古装",中国大陆,汉语普通话,2009-06-28,37,474289,"65.1%,25.7%,6.9%,1.0%,1.3%"
384,丹尼斯·维伦纽瓦,8.1,沙丘2,"提莫西·查拉梅,赞达亚,丽贝卡·弗格森,哈维尔·巴登,乔什·布洛林",2024,"剧情,动作,科幻,冒险","美国,加拿大",英语,2024-03-08,166,550920,"33.8%,43.5%,19.2%,2.8%,0.7%"
385,乔·庄斯顿,7.2,美国队长,"克里斯·埃文斯,海莉·阿特维尔,塞巴斯蒂安·斯坦,汤米·李·琼斯,雨果·维文",2011,"动作,科幻,冒险",美国,"英语,挪威语,法语",2011-09-09,124,407607,"15.9%,36.2%,40.5%,6.2%,1.1%"
386,西蒙·麦奎德,5.9,真人快打2,"阿德莱恩·鲁道夫,卡尔·厄本,马丁·福特,塔蒂·加布里埃,杰西卡·麦克娜美",2026,"动作,科幻,惊悚,奇幻,冒险",美国,"英语,西班牙语",2026-05-08,116,21376,"6.1%,19.3%,45.6%,22.1%,6.9%"
387,"克里斯托弗·斯托勒,杜乔·法布里",8.6,熊家餐馆 第五季,"杰瑞米·艾伦·怀特,艾邦·摩斯-巴克拉赫,阿尤·艾德维利,艾比·艾略特,莱昂内尔·博伊斯",2026,"剧情,喜剧",美国,英语,2026-06-25,60,988,"49.2%,33.6%,14.5%,1.4%,1.3%"
388,康洪雷,9.5,士兵突击,"王宝强,陈思诚,段奕宏,张译,邢佳栋",2006,剧情,中国大陆,普通话,2006-12-24,76,305185,"80.1%,16.6%,2.7%,0.3%,0.3%"
389,张艺谋,8.8,大红灯笼高高挂,"巩俐,马精武,何赛飞,曹翠芬,周琦",1991,剧情,"中国大陆,中国香港,中国台湾",汉语普通话,1991-09-10,125,380578,"50.7%,41.2%,7.5%,0.5%,0.2%"
390,詹姆斯·古恩,8.1,银河护卫队,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔,范·迪塞尔,布莱德利·库珀",2014,"动作,科幻,冒险",美国,英语,2014-10-10,121,566774,"30.4%,48.5%,19.0%,1.7%,0.4%"
391,丁梓光,7.8,国色芳华,"杨紫,李现,魏哲鸣,张雅钦,涂松岩",2025,"剧情,古装",中国大陆,汉语普通话,2025-01-07,84,428525,"30.1%,39.4%,23.7%,4.2%,2.6%"
392,"水野格,狩山俊辅",9.4,重启人生,"安藤樱,夏帆,木南晴夏,松坂桃李,水川麻美",2023,"剧情,喜剧,奇幻",日本,日语,2023-01-08,43,425257,"74.6%,21.3%,3.5%,0.4%,0.2%"
393,袁梅,6.7,蜂蜜的针,"袁泉,耿乐,宁静,俞飞鸿,齐溪",2026,"爱情,悬疑,犯罪",中国大陆,汉语普通话,2026-03-28,119,52590,"10.6%,33.1%,41.4%,11.5%,3.4%"
394,"郑晓龙,曹译文",7.1,藏海传,"肖战,张婧仪,周奇,黄觉,余男",2025,"剧情,古装",中国大陆,汉语普通话,2025-05-18,94,574075,"20.1%,34.2%,30.9%,10.2%,4.6%"
395,,6.5,半熟恋人 第五季,"沈奕斐,谢依霖,夏之光,张纯烨,董璇",2026,"爱情,真人秀",中国大陆,汉语普通话,2026-06-01,31,3065,"14.9%,28.6%,35.7%,10.1%,10.7%"
396,弗朗西斯·福特·科波拉,9.0,教父3,"阿尔·帕西诺,黛安·基顿,塔莉娅·夏尔,安迪·加西亚,伊莱·瓦拉赫",1990,"剧情,犯罪",美国,"英语,意大利语,德语,拉丁语",1990-12-25,162,437218,"60.2%,31.8%,7.3%,0.6%,0.2%"
397,今敏,9.0,红辣椒,"林原惠美,江守彻,堀胜之祐,古谷彻,大塚明夫",2006,"科幻,动画,悬疑,惊悚",日本,日语,2006-09-02,90,576258,"61.3%,30.3%,7.3%,0.8%,0.3%"
398,韩延,8.0,我们一起摇太阳,"彭昱畅,李庚希,徐帆,高亚麟,刘丹",2024,"剧情,爱情,家庭","中国大陆,中国香港",汉语普通话,2024-02-10,129,295049,"27.8%,48.6%,20.8%,2.2%,0.6%"
399,杨磊,8.8,三体,"张鲁一,于和伟,陈瑾,王子文,林永健",2023,"剧情,科幻",中国大陆,"汉语普通话,英语",2023-01-15,96,533869,"55.4%,31.5%,9.7%,2.3%,1.1%"
400,"泰勒·吉勒特,马特·贝蒂内利-奥尔平",6.0,准备好了没2：我来了,"萨玛拉·维文,凯瑟琳·纽顿,伊利亚·伍德,莎拉·米歇尔·盖拉,肖恩·海托西",2026,"喜剧,惊悚,恐怖","美国,加拿大",英语,2026-03-13,108,20423,"6.2%,17.1%,51.4%,20.8%,4.5%"
